Horizon,Steps,MAE,RMSE,nRMSE,N_Samples
1h,4,3.5847,5.6593,0.1132,657
2h,8,6.0891,7.9315,0.1586,657
4h,16,19.9233,23.3889,0.4678,657
Overall,-,9.8657,14.6285,0.2926,1971
