Horizon,Steps,MAE,RMSE,nRMSE,N_Samples
1h,4,3.7850,6.0345,0.1207,1117
2h,8,4.5404,6.7595,0.1352,1117
4h,16,6.0188,7.3905,0.1478,1117
Overall,-,4.7814,6.7510,0.1350,3351
