Horizon,Steps,MAE,RMSE,nRMSE,N_Samples
1h,4,3.4534,5.1898,0.1038,4527
2h,8,4.4121,6.8571,0.1371,4527
4h,16,4.8197,7.6899,0.1538,4527
Overall,-,4.2284,6.6605,0.1332,13581
