Horizon,Steps,MAE,RMSE,nRMSE,N_Samples
1h,4,4.7814,7.3236,0.1465,7150
2h,8,8.7636,12.6558,0.2531,7150
4h,16,15.8051,20.4988,0.4100,7150
Overall,-,9.7834,14.5374,0.2907,21450
