Horizon,Steps,MAE,RMSE,nRMSE,N_Samples
1h,4,3.9610,6.0698,0.1214,1117
2h,8,4.7605,6.8570,0.1371,1117
4h,16,6.3854,7.6951,0.1539,1117
Overall,-,5.0356,6.9059,0.1381,3351
