Horizon,Steps,MAE,RMSE,nRMSE,N_Samples
1h,4,7.4171,9.1790,0.1836,4527
2h,8,12.5659,15.3430,0.3069,4527
4h,16,18.5839,22.2439,0.4449,4527
Overall,-,12.8556,16.4768,0.3295,13581
