cluster_id,n_samples,ratio,mae_1h,rmse_1h,nrmse_1h,mae_2h,rmse_2h,nrmse_2h,mae_4h,rmse_4h,nrmse_4h,avg_membership
0,1309,0.2891539650982991,2.8399837,4.3582506,0.08716501,4.088629,6.1775184,0.12355037,5.8874826,8.849223,0.17698446,0.8873979389714357
1,2902,0.6410426330903468,3.0209258,4.565944,0.09131888,3.5696828,5.417765,0.108355306,3.8019428,5.970761,0.119415216,0.8178683317027716
2,316,0.0698034018113541,5.4081645,7.180892,0.14361784,5.85127,7.940143,0.15880287,5.8130417,8.217021,0.16434042,0.6758131662241212
