Horizon,Steps,MAE,RMSE,nRMSE,N_Samples
1h,4,4.3937,6.7495,0.1350,1117
2h,8,4.8554,7.0646,0.1413,1117
4h,16,5.2714,6.5931,0.1319,1117
Overall,-,4.8402,6.8052,0.1361,3351
