Horizon,Steps,MAE,RMSE,nRMSE,N_Samples
1h,4,4.2479,6.7119,0.1342,1117
2h,8,4.9152,7.1121,0.1422,1117
4h,16,7.1704,8.6585,0.1732,1117
Overall,-,5.4445,7.5410,0.1508,3351
