Horizon,Steps,MAE,RMSE,nRMSE,N_Samples
1h,4,4.3279,6.3143,0.1263,1117
2h,8,7.3663,9.4637,0.1893,1117
4h,16,20.6221,24.0503,0.4810,1117
Overall,-,10.7721,15.3606,0.3072,3351
