Horizon,Steps,MAE,RMSE,nRMSE,N_Samples
1h,4,3.8530,6.0896,0.1218,1117
2h,8,4.7623,6.7117,0.1342,1117
4h,16,5.8403,7.0730,0.1415,1117
Overall,-,4.8185,6.6372,0.1327,3351
