Horizon,Steps,MAE,RMSE,nRMSE,N_Samples
1h,4,3.4521,5.1745,0.1035,4527
2h,8,4.5812,7.0163,0.1403,4527
4h,16,5.0742,8.1854,0.1637,4527
Overall,-,4.3691,6.9042,0.1381,13581
